TOWN,ZIP_CODE,NO_BEDROOMS,BTH_DESC,SQUARE_FEET,YEAR_BUILT,GARAGE_SPACES_CC,SALE_PRICE
"Boston, MA",2135,1,1f 0h,536,1947,0,383025.00
"Boston, MA",2130,2,2f 0h,1904,2000,0,1062000.00
"Boston, MA",2135,2,1f 0h,747,1925,0,530000.00
"Boston, MA",2134,2,1f 0h,747,1930,0,536000.00
"Boston, MA",2116,2,2f 0h,1180,1924,0,1450000.00
"Boston, MA",2130,1,2f 0h,1048,1900,1,675000.00
"Boston, MA",2129,2,1f 0h,818,2015,0,652000.00
"Boston, MA",2116,2,1f 1h,1115,1890,0,1070000.00
"Boston, MA",2130,2,1f 0h,1063,1920,0,720000.00
"Boston, MA",2118,2,2f 0h,1112,2020,1,975000.00
"Boston, MA",2129,1,1f 0h,642,1900,0,620000.00
"Boston, MA",2116,1,1f 0h,920,1890,0,1218000.00
"Boston, MA",2118,2,1f 1h,890,1899,0,1370000.00
"Boston, MA",2118,3,2f 1h,1986,1880,0,1800000.00
"Boston, MA",2128,1,1f 0h,617,2024,0,499000.00
"Boston, MA",2134,2,2f 0h,1050,1986,1,825000.00
"Boston, MA",2110,2,2f 0h,1675,2023,1,2892320.00
"Boston, MA",2127,2,1f 0h,663,2001,0,590000.00
"Boston, MA",2128,2,1f 0h,874,2015,0,534000.00
"Boston, MA",2128,2,2f 0h,1025,2024,0,595000.00
"Boston, MA",2134,1,1f 0h,850,1899,0,545000.00
"Boston, MA",2129,1,1f 1h,659,1987,0,659900.00
"Boston, MA",2127,2,2f 0h,1417,1905,0,900000.00
"Boston, MA",2130,3,3f 1h,3333,2007,1,2200000.00
"Boston, MA",2116,1,1f 0h,628,1988,0,697500.00
"Boston, MA",2116,3,2f 1h,2220,1968,1,2850000.00
"Boston, MA",2128,3,3f 1h,1643,2024,1,1100000.00
"Boston, MA",2130,3,2f 0h,1420,1905,0,940000.00
"Boston, MA",2128,3,3f 0h,1416,2024,0,785000.00
"Boston, MA",2128,3,3f 1h,1782,2024,1,999000.00
"Boston, MA",2127,2,2f 1h,1860,2016,3,1620000.00
"Boston, MA",2134,1,1f 0h,537,1920,0,395000.00
"Boston, MA",2130,2,2f 0h,1125,1920,0,795000.00
"Boston, MA",2130,3,2f 1h,1950,2001,0,1090000.00
"Boston, MA",2118,1,1f 0h,848,1890,0,555000.00
"Boston, MA",2127,2,2f 0h,1066,1930,1,875000.00
"Boston, MA",2128,2,1f 1h,1118,1900,0,730000.00
"Boston, MA",2115,2,1f 0h,809,1875,0,1075000.00
"Boston, MA",2118,1,1f 0h,773,1900,0,545000.00
"Boston, MA",2110,1,1f 0h,900,2023,0,1750000.00
"Boston, MA",2113,1,1f 0h,310,1900,0,425000.00
"Boston, MA",2111,2,2f 1h,1596,2000,2,2150000.00
"Boston, MA",2111,1,1f 0h,1138,1897,0,785000.00
"Boston, MA",2111,2,2f 0h,1508,1899,0,1028000.00
"Boston, MA",2215,1,1f 0h,606,1910,1,690000.00
"Boston, MA",2127,1,1f 0h,445,1890,0,470000.00
"Boston, MA",2116,1,1f 0h,735,2004,1,782000.00
"Boston, MA",2116,2,2f 0h,1002,1899,0,1400000.00
"Boston, MA",2116,1,1f 1h,945,2023,1,2700000.00
"Boston, MA",2116,2,2f 0h,913,1920,1,1250000.00
"Boston, MA",2128,1,1f 0h,617,2024,0,499000.00
"Boston, MA",2129,2,2f 0h,1200,1899,0,795000.00
"Boston, MA",2130,3,2f 1h,1957,1999,1,1075000.00
"Boston, MA",2116,2,1f 0h,680,1890,0,920000.00
"Boston, MA",2127,2,2f 0h,1572,2014,1,1065000.00
"Boston, MA",2108,2,2f 0h,1500,1860,0,2050000.00
"Boston, MA",2130,1,1f 0h,668,1905,0,520000.00
"Boston, MA",2127,2,2f 0h,1040,2018,1,829000.00
"Boston, MA",2116,3,3f 1h,3440,1899,0,7200000.00
"Boston, MA",2130,3,2f 1h,1802,2024,0,1249000.00
"Boston, MA",2129,2,2f 0h,1185,1875,0,949000.00
"Boston, MA",2115,2,1f 0h,850,1890,0,815000.00
"Boston, MA",2115,2,2f 0h,760,1910,0,910000.00
"Boston, MA",2116,2,1f 1h,970,1866,0,1575000.00
